ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B08MTSKWNX,6.38 x 4.21 x 1.06,0,#14 in USB Cables,Veetone,FranVent Inc,"PD 3.0 Fast Charger for iPhone iPhone Fast Charger equipped with 20W PD 3.0 USB Type C power delivery wall plug, PD 3.0 Quick-Charge USB C port provides Max 20W output power, charging your iPhone 12 up to 50% in just 30 minutes, saving over 1.5hrs for you.Apple MFi Certified Lightning Cord With the original MFi Chip, the USB-C to lightning cord equips automatic chip recognition function. You could connect your MacBook/Pro with iPhone/iPad directly and enjoy the 480 Mbps data transfer speed. The Apple MFi Certification ensures 100% flawless compatibility with Apple devices. No more trigger warning messages.Applicable Apple Equipment Use the official iPhone 12 lightning cable with our 20W USB C wall charger to access fast-charging for iPhone 12/12 Mini/12 Pro/12 Pro Max/SE 2020/11/11 Pro/11 Pro Max/XS/XS Max/XR/X 8 Plus, iPad. This Power Delivery 3.0 FAST charger also charge for iPhone 7 6 Plus, iPhone 5 5c 5s SE in a original charging speed.Efficient Safe Fast Charging The Power Delivery Wall Charger for iPhone owns bulit-in multi-protection system, avoiding from over-voltage, over-charge, over-heat, etc. The smart chip including in the MFi certified lightning cable match the current required by the Apple device automatically, charge your iPhone/iPad device fast, safely and steadily.Hassle-Free WarrantyWhat You Get: 1* 20W PD 3.0 Wall Fast Charger and MFi Certified USB C to Lightning Cable, 5-Years worry-free refund and replacement guarantee. If you have any quetions, don't hesitate to contact us! We promise to solve your problems within 24 Hours!","November 17, 2020",https://m.media-amazon.com/images/I/51ZyPdQS0jL._AC_UY218_.jpg,20.99,4.6,1100,"[Apple MFi Certified] iPhone Fast Charger, Veetone 20W PD Type C Power Wall Charger Travel Plug with 6FT USB C to Lightning Quick Charge Sync Cable Compatible with iPhone 12/11/XS/XR/X 8/SE 2020, iPad",https://www.amazon.com/Certified-Charger-Veetone-Lightning-Compatible/dp/B08MTSKWNX/ref=sr_1_13?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-13,0.180625
B08NVX6M88,11.18 x 8.03 x 0.51,7,#2 in Lightning Cables,YEFOOT,TINWEN,"MFi Certified iPhone Charger: Certified by MFI and original 8 Pin connector with a fast Charging end, ensured safe charging for your devices. Enjoy fast charge and data transfer.Quality Warranty: YEFOOT iphone charger cable 6Pack [3/3/6/6/6/10ft] with Lifetime Replacement & 24*7 friendly customer support ensure your pleasing shopping experience.Perfect Compatibility: iPhone Charger Cable for iPhone 12Pro Max/12Pro/12/iphone xr /iphone xs / xs max /iphone x/ iphone 10/ iphone 11/iphone11 pro/iphone 11 pro Max, iPhone 8 / 8 Plus, iPhone 7 / 7 Plus, iPhone 6s Plus / 6s / 6 Plus / 6, iPhone 5s / 5c / 5 / SE, iPad / iPod and more.Fast Charge and Data Transfer: YEFOOT iphone cable Supports safe high-speed charging (2.4A) and fast data transfer (480Mbps), working better and quick charge your devices.Strengthened Construction: Designed and built with only premium materials, it has been tested to withstand at least 12000 cycles of 95 degree bend and 10000 plugging and unplugging lifespan which is 12 times stronger than original device cables. Seamless laser-welded connector can even withstand 15kg exterior force without breaking off.","November 19, 2020",https://m.media-amazon.com/images/I/71DYOf9RibL._AC_UY218_.jpg,11.99,4.6,6540,"iPhone Charger, YEFOOT [Apple MFi Certified] Cable 6Pack[3/3/6/6/6/10ft] Nylon Braided Fast Charging Long Compatible iPhone 12Pro Max/12Pro/12/11Pro Max/11Pro/11/XS/Xs Max/XR and More-Silver&amp;White",https://www.amazon.com/YEFOOT-Certified-Charging-Compatible-More-Silver/dp/B08NVX6M88/ref=sr_1_4?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-4,0.42125
B08QV1CV6Y,6.81 x 5.79 x 0.55,0,#12 in Lightning Cables,Bkayp,Tongsan,"Fast Charging iphone charger cable are made of high purity copper core and smart intelligent chip with overcharge protection, stable current protection, automatic switching and battery protection, which can support up to 2.4A fast charging and 480 Mbps transferring speed.High quality, High service:Each transaction provides a 12-month worry-free guarantee to prove our emphasis on quality. If you have any questions, please feel free to contact us. Our service team will provide you with a satisfactory solution within 24 hours.Premium Nylon Braided  : Bkayp iPhone charging cable with reinforced joint design that have passed 15,000+ times bending tests for extra protection and durability.braided nylon insulation and precisely layer-welded connectors, which make cable more durable and sturdier than normal iPhone charger cables but also flexible and tangle-free. Withstand a variety of everyday connection needs and long-term use.Excellent Compatibility : iPhone charger cable MFi-certified ensures complete charge and sync compatibility with iPhone SE 2020/ 11 / 11 Pro / 11 Pro Max / XS / XS Max / XR / X / 8 Plus / 8 / 7 Plus / 7 / 6s Plus / 6s / 6 Plus / 6 / 5s / 5c / 5, iPad Pro / iPad Air / Air 2 / iPad mini / mini 2 / mini 4 / iPad 4th gen, iPod Touch / iPod Nano 7th gen etc.What You Get?:3 Pack Mfi Certified iPhone charging cables in lengths (10/10/10FT). this iPhone charger cable long enough to be convenient to charge your device in bedroom, sofa, office, traveleven when you are on the backseat of the car.","November 2, 2020",https://m.media-amazon.com/images/I/81hvA5zUBcL._AC_UY218_.jpg,8.48,4.4,974,"iPhone Charger, Bkayp 3Pack 10FT MFi Certified iPhone Charger Cable Nylon USB Fast Charging Cable with Compatible iPhone 12/Max/11Pro/11/XS/Max/XR/X/8/8P/7 and More - Black&amp;White",https://www.amazon.com/Charger-Bkayp-Certified-Charging-Compatible/dp/B08QV1CV6Y/ref=sr_1_11?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-11,0.36875
B08J9ZJNF1,1.97 x 1.97 x 0.39,21,#66 in Cell Phones & Accessories #7 in Cell Phone Wall Chargers,DreemTeam,weikenweike Trading,"FASTER CHARGING & DATA SYNC: With built-in safety protections and four-core copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mb/s transferring speedPREMIUM CABLE: Covered by high-quality material&Employed superior copper inside the cable make them sturdy and durable,to ensure fast charging of all compatible devices and efficient data syncPORTABLE DESIGNThis USB power adapter compact and easily portable ,in home or in the office via USB cable connection. Simply plug in the USB cable, and plug the adapter into the wall. Quick Charge 3.0 wall charger to keep your Quick Charge and other USB devices charged wherever you good ideal for worldwide travel.PROTECTION FUNCTION: The iPhone charging Kit has the function of automatic protection circuit. Intelligent circuit design protects against short circuiting, over-heating, over-current, and over-charging.COMPATIBLE WITH: iPhone 11/Pro/iPhone XS/iPhone Max/iPhone XR/iPhone X/iPhone 8 Plus/iPhone 8/iPhone 7 Plus/iPhone 7/iPhone 6s Plus/iPhone 6s/iPhone 6 Plus/iPhone 6/iPhone 5s/iPhone 5c/iPhone 5/iPad Pro/iPad Air/Air 2/iPad mini/mini 2/mini 4/iPad 4th gen/iPod Touch 5th gen/ iPod.Each was updated to match the iphone system.","September 17, 2020",https://m.media-amazon.com/images/I/61QaFDE790L._AC_UY218_.jpg,16.98,4.5,4286,"DreemTeam for iPhone Charger, 2Pack iPhone Charger MFi Certified to USB Fast Charging Data Sync Transfer Cable with USB Wall Charger Travel Plug Compatible iPhone 11/Pro/Xs Max/XR/X/8/8Plus and More",https://www.amazon.com/DreemTeam-Certified-Charging-Transfer-Compatible/dp/B08J9ZJNF1/ref=sr_1_6?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-6,0.0014375
B08L7BS9LW,8.35 x 8.27 x 0.98,6,#3 in Lightning Cables,MBYY Store,MOOIO,"[Lifetime Service ]: MBYY iphone lightning cable 2m 5pack with Lifetime Replacement & 24*7 friendly customer support ensure your pleasing shopping experience[MFi Certified Lightning Cable]: Certified by MFI and original 8 Pin connector with a lightning end, ensured safe charging for your devices. Enjoy fast charge and data transferFast Charge and Data TransferMBYY iphone cable Supports safe high-speed charging (2.4A) and fast data transfer (480Mbps), working better and quick charge your devices.Strengthened Construction: Designed and built with only premium materials, it has been tested to withstand at least 12000 cycles of 95 degree bend and 10000 plugging and unplugging lifespan which is 12 times stronger than original device cables. Seamless laser-welded connector can even withstand 15kg exterior force without breaking off.[Perfect Compatibility]:Lightning Cable for iPhone iphone xr /iphone xs / xs max /iphone x/ iphone 10/ iphone 11/iphone11 pro/iphone 11 pro Max, iPhone 8 / 8 Plus, iPhone 7 / 7 Plus, iPhone 6s Plus / 6s / 6 Plus / 6, iPhone 5s / 5c / 5 / SE, iPad / iPod","October 15, 2020",https://m.media-amazon.com/images/I/51B4dMOp49L._AC_UY218_.jpg,11.99,4.6,9410,"iPhone Charger,5 Pack (6 FT) MBYY [Apple MFi Certified] Charger Lightning to USB Cable Compatible iPhone 11 Pro/11/XS MAX/XR/8/7/6s/6/plus,iPad Pro/Air/Mini,iPod Touch Original Certified-White",https://www.amazon.com/MBYY-Certified-Lightning-Compatible-Certified-White/dp/B08L7BS9LW/ref=sr_1_10?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-10,0.95
B088CVF7LM,10.47 x 5.2 x 0.67,2,#6 in Lightning Cables,Aioneus Store,Aioneus-US,"Perfect Compatiblility : Working well with iPhone SE 2020 / 12 Pro Max / 11 Pro / 11 Pro Max / XR / XS Max / X / 8 / 8 Plus / 7 / 7 Plus / 6s / 6s Plus /6 Plus / 6 / SE / 5s / 5c / 5, iPad Air / Air 2, iPad mini; Ultra Durable : Reinforced stress points with a 10000+ bend lifespan make iPhone cord many times more durable than anything else on the market; Remarkable for Outdoor : Double shielding and tangle free design significantly enhance the interference protection to cope with any outdoor activities. The anodized connectors ensure superior functionality under heavy usage; Fast Charging and Sync : output power up to 5V 2.4A, which is ensured by high-speed safe charging, and supports data transfer speed can reach 40~60MB/S (480Mbps) What You Get : Aioneus iPhone Cable 2Pack(6ft/6ft, pink), our fan-favorite LIFETIME replacement and 24-hours friendly support.","May 9, 2020",https://m.media-amazon.com/images/I/519LeGYqKIL._AC_UY218_.jpg,9.99,4.3,8509,iPhone Charger 6ft 2Pack Aioneus MFi Certified Lightning Cable Fast Charging Cable Nylon Braided Phone Charger Cord Compatible with iPhone 12 Pro 11 Pro Max 10 Xr Xs Max 8 7 6 6s SE 2020 iPad－Pink,https://www.amazon.com/Charger-Aioneus-Charging-Braided-Compatible/dp/B088CVF7LM/ref=sr_1_5?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-5,0.180625
B08F4Z9KWP,7.95 x 6.26 x 0.79,14,#11 in USB Cables,Cavalrywolf,Macapp,"[QUALITY COPPER WIRE] Connects to your Phone, Pad with Connector charges/syncs by connecting the USB connector into wall charger or computer. Enjoy charge times up faster than than most standard cables[EXTRA LONG LENGHT] designed in different Length, enable you to choose the length you like and 6 feet are long enough for you to charge your phone from a long distance.ideal for using at home, in car and office.[2 N 1 FUNCTION] Great performance ensures your devices syncs and charge simultaneously with up to 480 mb/s . It syncs photos, music, videos, files with the ability to charge the device. also delivers up to 2.1A current to maximize the charging efficiency performance[DURABLE MATERIAL] Highest standard of quality cables at an affordable price, is super smooth and comfortable,more durable than standard Phone charger cord.[COMPATIBILTY] phone charger compatible with iPhone 11/Pro/iPhone XS/iPhone Max/iPhone XR/iPhone X/iPhone 8 Plus/iPhone 8/iPhone 7 Plus/iPhone 7/iPhone 6s Plus/iPhone 6s/iPhone 6 Plus/iPhone 6/iPhone 5s/iPhone 5c/iPhone 5/iPad Pro/iPad Air/Air 2/iPad mini/mini 2/mini 4/iPad 4th gen/iPod Touch 5th gen/ iPod.Each light ning cable was updated to match the iphone system.","August 1, 2020",https://m.media-amazon.com/images/I/51zBx6RlvXL._AC_UY218_.jpg,9.98,4.5,15782,"iPhone Charger, 4PACK 3/3/6/6Feet Long USB Charging Cable Fast Connector Data Sync Transfer Cord Compatible with iPhone 11 Pro Max XS XR X 8 7 6S 6 Plus SE 5S",https://www.amazon.com/Cavalrywolf-Charging-Connector-Transfer-Compatible/dp/B08F4Z9KWP/ref=sr_1_9?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-9,0.24
B08JCZFWQJ,9.02 x 8.39 x 0.83,9,#1 in Lightning Cables,UNEN,litaohai,Nylon braided thread is tightly woven,"November 8, 2019",https://m.media-amazon.com/images/I/71XhOxInbUL._AC_UY218_.jpg,12.99,4.6,26345,UNEN iphone Charger（3/3/6/6/10FT）5 Pack-Black and Blue,https://www.amazon.com/UNEN-iphone-Charger%EF%BC%883-10FT%EF%BC%895-Pack-Black/dp/B08JCZFWQJ/ref=sr_1_3?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-3,0.35
B088R2ZT1X,6.26 x 3.11 x 0.39,0,#5 in USB Cables,AUNC,B.EIGHTLI,"Quality Copper Wire: Connects to your Phone, Pad with Connector charges/syncs by connecting the USB connector into wall charger or computer. Enjoy charge times up faster than than most standard cables2 N 1 Function: Great performance ensures your devices syncs and charge simultaneously with up to 480 mb/s . It syncs photos, music, videos, files with the ability to charge the device. also delivers up to 2.1A current to maximize the charging efficiency performance DURABLE MATERIAL:Highest standard of quality cables at an affordable price, is super smooth and comfortable,more durable than standard Phone charger cord.Durable Material:Highest standard of quality cables at an affordable price, is super smooth and comfortable,more durable than standard Phone charger cord.Compatibiltyphone charger compatible with iPhone 11/Pro/iPhone XS/iPhone Max/iPhone XR/iPhone X/iPhone 8 Plus/iPhone 8/iPhone 7 Plus/iPhone 7/iPhone 6s Plus/iPhone 6s/iPhone 6 Plus/iPhone 6/iPhone 5s/iPhone 5c/iPhone 5/iPad Pro/iPad Air/Air 2/iPad mini/mini 2/mini 4/iPad 4th gen/iPod Touch 5th gen/ iPod.Each light ning cable was updated to match the iphone system.What You Get: 3 pack 6FT AUNC lightning cable. If you have any questions during the use process, please email us at any time.High-quality after-sales service allows you to have no worries at all.","May 18, 2020",https://m.media-amazon.com/images/I/615evSQ+w2L._AC_UY218_.jpg,9.98,4.5,6585,iPhone Charger AUNC 3PACK 6Feet Long Lightning to USB Charging Cable Fast Connector Data Sync Transfer Cord Compatible with iPhone 11 / Xs Max/X/8/7/Plus/6S/6/SE/5S iPad…,https://www.amazon.com/Charger-AUNC-Lightning-Charging-Compatible/dp/B088R2ZT1X/ref=sr_1_8?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-8,0.04
B08SLND4SS,n/a,3,#59 in Lightning Cables,Xilsn,Mgsvrt Tech,"{Extend the service life}: The sturdy TPE silicone sheathed cable is more flexible and not easy to wind. It can withstand more than 11,000 bending cycles after testing, and the cable has high resistance to cracking and breaking. The one-piece shell not only perfectly matches the iPhone iPad, but also prevents the shell from falling off and is more durable than standard mobile phone charger cables.{Multiple colors and perfect length}: The perfect 6FT length can provide you with a more free and comfortable charging method. 5 Pack provides you with (pink/green/purple/yellow/red) everyone has a different cable. Suitable for easy charging in different occasions such as travel, home, car, office, etc.{High-speed charging and synchronization}: The maximum charging speed of high-quality thick copper wire is up to 2.5A. The MFi-certified lightning connector ensures fast, stable and safe charging, and perfectly solves the heating problem. It synchronizes files at the fastest speed. It is faster than most standard cables, ensuring that the phone keeps charging at a high speed to save more time.{MFi certified compatibility}: iPhone 12 Pro MAX, 12 Pro, 12, 12 mini, 11 Pro MAX, 11 Pro, 11, XS MAX, XS, XR, X, 8, 8Plus, 7, 7 plus, 6s plus, 6, 6s, 6 Plus, 5, 5c, 5s , SE, iPad, Air, Pro, Mini, iPod, AirPods Pro.{Perfect after-sales service}: If your product has quality problems, please contact our service team, we will provide you with a satisfactory solution in time. what are you waiting for? Order now and enjoy a better iPhone cable.","January 11, 2021",https://m.media-amazon.com/images/I/61Rlhxpau-L._AC_UY218_.jpg,14.98,4.4,326,"5 Pack 6ft Lightning Charging Cables, MFi Certified iPhone Charger USB Data Cord High Speed Cable Compatible with iPhone 12 Mini 11 Pro Max XS XR X 8 7 6S 6 Plus SE 5S 5C 5 iPad AirPods Pro",https://www.amazon.com/Lightning-Charging-Certified-Charger-Compatible/dp/B08SLND4SS/ref=sr_1_18?dchild=1&keywords=iphone+charger&qid=1614051834&sr=8-18,0
